Date,Close,chg(close),Low,chg(low),High,chg(high)
12/17/2021 23:58:00,70.02,-1.38,69.52,-1.23,71.2,-0.7
12/20/2021 23:58:00,68.49,-1.53,66.83,-2.69,69.05,-2.15
12/21/2021 23:58:00,70.5,2.01,68.9,2.07,70.71,1.66
12/22/2021 23:58:00,71.16,0.66,69.9,1,71.33,0.62
12/23/2021 23:58:00,72.18,1.02,70.81,0.91,72.3,0.97
12/27/2021 23:58:00,73.61,1.43,71,0.19,74.03,1.73
12/28/2021 23:58:00,74.02,0.41,73.9,2.9,74.7,0.67
12/29/2021 23:58:00,74.63,0.61,73.67,-0.23,75.06,0.36
12/30/2021 23:58:00,74.96,0.33,74.19,0.52,75.22,0.16
12/31/2021 23:58:00,73.35,-1.61,73.29,-0.9,74.69,-0.53
01/03/2022 23:58,74.59,1.24,73.24,-0.05,74.7,0.01
01/04/2022 23:58,75.59,1,74.59,1.35,75.78,1.08
01/05/2022 23:58,75.75,0.16,75.25,0.66,76.25,0.47
01/06/2022 23:58,76.48,0.73,74.69,-0.56,76.97,0.72
01/07/2022 23:58,76.3,-0.18,76,1.31,77.23,0.26
01/10/2022 23:58,75.73,-0.57,75.47,-0.53,76.76,-0.47
01/11/2022 23:58,77.92,2.19,75.9,0.43,77.98,1.22
01/12/2022 23:58,78.49,0.57,77.68,1.78,78.82,0.84
1/13/2022 23:58:00,78.33,-0.16,77.77,0.09,78.79,-0.03
1/14/2022 23:58:00,79.49,1.16,78.2,0.43,79.71,0.92
1/18/2022 23:58:00,80.7,1.21,79.19,0.99,81.4,1.69
1/19/2022 23:58:00,81.23,0.53,80.85,1.66,81.7,0.3
1/20/2022 23:58:00,81.54,0.31,80.38,-0.47,82.01,0.31
1/21/2022 23:58:00,80.98,-0.56,79.36,-1.02,81.08,-0.93
1/24/2022 23:58:00,79.62,-1.36,78.49,-0.87,81.7,0.62
1/25/2022 23:58:00,80.92,1.3,79.61,1.12,81,-0.7
1/26/2022 23:58:00,81.89,0.97,80.65,1.04,82.4,1.4
1/27/2022 23:58:00,81.18,-0.71,80.89,0.24,82.6,0.2
1/28/2022 23:58:00,81.1,-0.08,80.86,-0.03,82.46,-0.14
1/31/2022 23:58:00,81.62,0.52,81,0.14,81.91,-0.55
02/01/2022 23:58,81.57,-0.05,80.32,-0.68,82.02,0.11
02/02/2022 23:58,81.99,0.42,81.29,0.97,82.75,0.73
02/03/2022 23:58,83.27,1.28,80.98,-0.31,83.34,0.59
02/04/2022 23:58,84.52,1.25,83.39,2.41,84.78,1.44
02/07/2022 23:58,84.55,0.03,84.24,0.85,85.18,0.4
02/08/2022 23:58,83.11,-1.44,82.6,-1.64,84.61,-0.57
02/09/2022 23:58,84.09,0.98,82.56,-0.04,84.44,-0.17
